Borough,lon,lat
Manhattan,-73.948394,40.7954321
Manhattan,-73.9490493,40.7962914
Manhattan,-73.9523049,40.7911649
Manhattan,-73.9862532,40.7722559
Manhattan,-73.9886502,40.7719132
Manhattan,-73.980417,40.782443
Manhattan,-73.9886025,40.775111
Manhattan,-73.98827229999999,40.7784889
Manhattan,-73.9888218,40.7771728
Manhattan,-73.9899978,40.774578
Manhattan,-73.98672189999999,40.7710994
Manhattan,-73.9836851,40.7758822
Manhattan,-73.9811205,40.7696869
Manhattan,-73.9797522,40.777534
Manhattan,-73.9894047,40.7714442
Manhattan,-73.989156499999993,40.7720886
Manhattan,-73.9853954,40.7779493
Manhattan,-73.9808621,40.7812665
Manhattan,-73.9802945,40.78161559999999
Manhattan,-73.980223,40.782705
Manhattan,-73.9913505,40.7739906
Manhattan,-73.9895375,40.7757217
Manhattan,-73.99006279999999,40.7751099
Manhattan,-73.99097859999999,40.7745737
Manhattan,-73.9843344,40.7753903
Manhattan,-73.9825935,40.77872079999999
Manhattan,-73.99049,40.7727454
Manhattan,-73.9901478,40.7733326
Manhattan,-73.97298599999999,40.78989
Manhattan,-73.9737318,40.7927227
Manhattan,-73.9727444,40.7938631
Manhattan,-74.0139997,40.7057619
Manhattan,-73.97833349999999,40.78877629999999
Manhattan,-73.97129369999999,40.7941435
Manhattan,-73.9615998,40.8024385
Manhattan,-73.966602,40.8001528
Manhattan,-73.9599751,40.8050274
Manhattan,-73.9709003,40.7969786
Manhattan,-73.96609120000001,40.8040708
Manhattan,-73.9685192,40.796088
Manhattan,-73.96662770000002,40.7946584
Manhattan,-73.9653033,40.8018285
Manhattan,-73.966835,40.802363
Manhattan,-73.966852,40.802052
Manhattan,-73.94215190000001,40.836429
Manhattan,-73.9434228,40.8368702
Manhattan,-73.9414985,40.84441169999999
Manhattan,-73.9412224,40.8372672
Manhattan,-73.93299929999999,40.84578920000001
Manhattan,-73.9387023,40.8365313
Manhattan,-73.9307968,40.85579560000001
Manhattan,-73.93252,40.857645
Manhattan,-73.93010199999999,40.849763
Manhattan,-73.9353356,40.8544575
Manhattan,-73.9340074,40.8568972
Manhattan,-73.9351302,40.85395339999999
Bronx,-73.895231,40.855865
Bronx,-73.895167,40.8558329
Bronx,-73.89524,40.8525599
Bronx,-73.8951486,40.8524937
Bronx,-73.8952157,40.8525154
Bronx,-73.8952836,40.8525374
Bronx,-73.8953511,40.8525591
Bronx,-73.8954171,40.85258049999999
Bronx,-73.8954833,40.8525971
Bronx,-73.8955661,40.8526287
Bronx,-73.8922248,40.8585113
Bronx,-73.8921344,40.8586421
Bronx,-73.89272,40.857674
Bronx,-73.89239300000001,40.8543481
Bronx,-73.901622,40.838107
Bronx,-73.90166099999999,40.838057
Bronx,-73.8926068,40.855813
Bronx,-73.8497828,40.8816117
Bronx,-73.8464335,40.8778665
Bronx,-73.8430209,40.8758089
Bronx,-73.8428018,40.8756129
Bronx,-73.844278,40.870074
Bronx,-73.8443748,40.8700733
Bronx,-73.8368077,40.8772321
Bronx,-73.841865,40.8791336
Bronx,-73.841839,40.8790802
Bronx,-73.8417714,40.8790106
Bronx,-73.841786,40.8816915
Bronx,-73.8418071,40.8818045
Bronx,-73.841843,40.881862
Bronx,-73.8419158,40.8819113
Bronx,-73.8419378,40.8819668
Bronx,-73.8484307,40.8815379
Bronx,-73.84841469999999,40.8815984
Bronx,-73.8484381,40.8816678
Bronx,-73.8478181,40.8828778
Bronx,-73.847754,40.8830327
Bronx,-73.84787109999999,40.8829996
Bronx,-73.8377069,40.8838293
Bronx,-73.8379726,40.883834
Bronx,-73.8377526,40.883951
Bronx,-73.83777839999999,40.8840082
Bronx,-73.83623399999999,40.883679
Bronx,-73.836193,40.883586
Bronx,-73.839147,40.889404
Bronx,-73.8318145,40.8906299
Bronx,-73.8320535,40.8907202
Bronx,-73.8361013,40.8785222
Bronx,-73.83607789999999,40.8784807
Bronx,-73.83631299999999,40.8783559
Bronx,-73.8360166,40.8783719
Bronx,-73.835984,40.878314
Bronx,-73.836232,40.878211
Bronx,-73.836198,40.878158
Bronx,-73.8361504,40.878091
Bronx,-73.8364963,40.8779648
Bronx,-73.835489,40.877998
Bronx,-73.83552999999999,40.878073
Bronx,-73.8355735,40.8780993
Bronx,-73.8356026,40.8781517
Bronx,-73.8356458,40.8782392
Bronx,-73.835668,40.8783079
Bronx,-73.8357019,40.8783403
Bronx,-73.8357297,40.87839030000001
Bronx,-73.8357559,40.8784376
Bronx,-73.8357833,40.8784867
Bronx,-73.8358121,40.8785385
Bronx,-73.8336829,40.8792231
Bronx,-73.83376799999999,40.879165
Bronx,-73.83373499999999,40.8791433
Bronx,-73.8313019,40.882062
Bronx,-73.831215,40.882056
Bronx,-73.831142,40.8820819
Bronx,-73.831059,40.882123
Bronx,-73.830888,40.88183799999999
Bronx,-73.8305828,40.8817067
Bronx,-73.8307513,40.8815909
Bronx,-73.8309195,40.8814749
Bronx,-73.8195588,40.8883015
Bronx,-73.8356967,40.86932729999999
Bronx,-73.8356927,40.8693146
Bronx,-73.8356723,40.86909500000001
Bronx,-73.8356,40.8690763
Bronx,-73.8355852,40.86898679999999
Bronx,-73.8355831,40.8689067
Bronx,-73.8355261,40.8688505
Bronx,-73.83558459999999,40.868788
Bronx,-73.83548549999999,40.8687077
Bronx,-73.8354545,40.8686414
Bronx,-73.83536459999999,40.8685932
Bronx,-73.835448,40.8684935
Bronx,-73.8353459,40.8684842
